TICKERS
AAPL
MSFT
AMZN
BA
JNJ
JPM
NVDA
PFE
META
KO
ABEV
ABG
ABGI
ABIO
ABM
ABMD
ABNB
ABOS
ABR
ABSI
ABST
ABT
ABTX
ABUS
ABVC
AC
ACA
ACAD
ACAH
ACAHU
ACAHW
ACB
ACBA
ACBAW
ACBI
MCS
MCW
MCY
MD
MDB
MDC
MDGL
MDGS
MDGSW
MDH
MDIA
MDJH
MDLZ
MDNA
MDRR
MDRRP
MDRX
SPTN
SPWH
SPWR
SPXC
SPXX
SQ
SQFT
SQFTP
SQL
SQLLW
SQM
SQNS
SQSP
SQZ
SR
SRAD
SRAX
SRC
SRCE
SRCL
SRDX
SRE
VRSK
VRSN
VRT
VRTS
VRTV
VRTX
VS
VSACU
VSAT
VSCO
VSEC
VSH
VST
VSTA
VSTM
VSTO
VTAQ
VTAQR
VTAQW
VTEX
VTGN
VTIQ
VTIQU
VTIQW
